"pad_size","position","track_no","layer_thickness_um","measurement_type","sim_value","exp_mean_value","exp_std_dev"
"5x5","middle","8","80","overlap_depth","154.36","104","4.6"
"5x5","middle","8","160","overlap_depth","91.3","108.6","4.1"
"5x5","middle","9","0","overlap_depth","110.8696","117.5","3.6"
"5x5","middle","9","80","overlap_depth","155.93","110.2","1.7"
"5x5","middle","9","160","overlap_depth","","103.4","4.4"
"5x5","middle","10","0","overlap_depth","","122","4"
"5x5","middle","10","80","overlap_depth","","113.3","1.5"
"5x5","middle","10","160","overlap_depth","","101.6","9.1"
"5x5","middle","1","0","width","46.75325","77.546","1.8"
"5x5","middle","1","80","width","69.86","84.651","5.3"
"5x5","middle","1","160","width","80.77","76.734","1.7"
"5x5","middle","2","0","width","76.62338","89.842","9.2"
"5x5","middle","2","80","width","89.48","84.651","4.3"
"5x5","middle","2","160","width","73.56","92.51","7.5"
"5x5","middle","3","0","width","81.81818","90.9005","4.8"
"5x5","middle","3","80","width","97.97","92.1475","7.1"
"5x5","middle","3","160","width","92.31","100.7605","5.7"
"5x5","middle","4","0","width","90.90909","92.1475","1.0"
"5x5","middle","4","80","width","107.76","94.134","3.5"
"5x5","middle","4","160","width","95.19","102.225","2.2"
"5x5","middle","5","0","width","88.31169","101.2245","2.8"
"5x5","middle","5","80","width","109.18","98.107","7.9"
"5x5","middle","5","160","width","85.1","108.141","1.5"
"5x5","middle","6","0","width","94.80519","102.95","3.2"
"5x5","middle","6","80","width","100.72","100.6445","4.8"
"5x5","middle","6","160","width","105.29","115.478","4.2"
"5x5","middle","7","0","width","106.4935","113.071","7.5"
"5x5","middle","7","80","width","131.73","106.401","6.2"
"5x5","middle","7","160","width","111.06","110.403","0.9"
"5x5","middle","8","0","width","84.41558","111.5485","4.3"
"5x5","middle","8","80","width","124.62","107.213","2.3"
"5x5","middle","8","160","width","100.96","114.289","1.7"
"5x5","middle","9","0","width","100","113.622","3.3"
"5x5","middle","9","80","width","150.01","110.461","4.8"
"5x5","middle","9","160","width","126.92","116.493","4.7"
"5x5","middle","10","0","width","102.5974","116.096686","8.1"
"5x5","middle","10","80","width","155.67","107.097","1.3"
"5x5","middle","10","160","width","","120.06","1.7"
